o_orderkey,o_custkey,o_orderpriority,o_comment
53442,664,5-LOW, regular instructions affix across the fluffily special hockey players. i
53443,1385,1-URGENT,of the carefully pend
53444,298,2-HIGH,ound the excuses. slyly regular excuses sleep furiously regular deposits-- b
53445,349,2-HIGH,"uriously regular excuses. regular, regular ideas nag quickly qui"
53446,130,3-MEDIUM,. fluffily final de
53447,637,3-MEDIUM,onic deposits. furiously even pinto beans caj
53472,302,5-LOW,"l, regular foxes. final instructions eat blithely. slyly unusual deposits"
53473,791,5-LOW,sts. ironic requests alongside of the ideas co
53474,118,4-NOT SPECIFIED,ts according to the c
53475,920,3-MEDIUM,"y final, idle patterns. foxes boost"
53476,542,4-NOT SPECIFIED,xpress ideas nag slyl
53477,625,2-HIGH,encies are blithely against th
53478,311,2-HIGH,tions nod. slyly regular accounts snooze accounts.
53479,1432,4-NOT SPECIFIED, ironic theodolites. careful accounts boost. furiously ironic deposits han
53504,430,1-URGENT,oss the furiously final account
53505,461,4-NOT SPECIFIED," special instructions. deposits after the regular, even theodolites sleep "
53506,1273,3-MEDIUM,tegrate along the furiously special requests. even request
53507,796,5-LOW,aggle slyly whithout the blithely regular warthogs
53508,1082,2-HIGH,"ajole regular theodolites. unusual, f"
53509,1027,1-URGENT, unusual requests. blithely bold account
53510,775,4-NOT SPECIFIED,oxes haggle carefully along the carefully ironic
53511,532,3-MEDIUM,e blithely! bold tithes according to the blithely unusual packages wake
53536,524,2-HIGH, haggle carefully at the finally special packages. regular f
53537,430,4-NOT SPECIFIED,he accounts. blithely even instructions may sleep carefully s
53538,1042,4-NOT SPECIFIED,"ecial, ironic deposits ab"
53539,464,5-LOW,ole blithely. furiously regular depos
53540,1087,5-LOW,hely ironic ideas. fluffily ironic dep
53541,1033,3-MEDIUM," requests serve unusual, express accounts. sly"
53542,212,1-URGENT,wake carefully across the carefully final ideas. quickly express requ
53543,829,1-URGENT,"cajole carefully unusual, "
53568,97,3-MEDIUM,"ites. express, pending p"
53569,1390,1-URGENT,"ously regular, express in"
53570,269,3-MEDIUM,yly after the regular somas. blithely expr
53571,520,4-NOT SPECIFIED, slyly. slyly bold accounts according to the slyly ruthless pinto beans
53572,590,3-MEDIUM,"after the regular, "
53573,130,4-NOT SPECIFIED,hely express deposits boost quickly; blithely express 
53574,1141,3-MEDIUM, beans affix fluffily requests. furiously final foxes haggle carefully ex
53575,925,4-NOT SPECIFIED,fluffily among the slyly pending pinto bean
53600,616,3-MEDIUM,xes. slyly ironic requests detect.
53601,604,4-NOT SPECIFIED, unwind carefully. even packages sleep
53602,1136,1-URGENT,pecial packages above the evenly
53603,1396,4-NOT SPECIFIED,n about the carefully ironic orbits. carefully ironic platelets among th
53604,1343,3-MEDIUM,haggle slyly platelets. accounts cajole fin
53605,925,3-MEDIUM,kly blithely bold deposits. requests haggle s
53606,877,3-MEDIUM,". furiously ironic ideas integrate quietly even, special instructions. p"
53607,481,3-MEDIUM,"ly pending deposits haggle ruthlessly bold excuses. pending, iron"
53632,721,1-URGENT,c pinto beans wake quickly slyly regular depen
53633,403,4-NOT SPECIFIED,ainments cajole blithely. carefully final platelets nag. instructio
53634,1457,5-LOW,posits maintain quickly after the quick
53635,373,4-NOT SPECIFIED,ly! furiously regular dependencies believe furiously regular foxes. 
53636,907,4-NOT SPECIFIED,"kages sleep quickly across the regular, "
53637,592,2-HIGH,he carefully ironic ideas. quickly final platelets affix alongsid
53638,1253,2-HIGH,ent accounts. slyly unusual req
53639,104,3-MEDIUM,ironic pinto beans nag blithely! slyly pending excuses wake
53664,152,5-LOW,n accounts-- fluffily express accounts aft
53665,322,2-HIGH,"s. bold, regular theodolites above the"
53666,121,1-URGENT,pinto beans. dugouts after the silently ironic foxes cajole abo
53667,562,3-MEDIUM,e theodolites. bold dolphins sleep quickly about the slyly ironi
53668,1052,4-NOT SPECIFIED," against the express, s"
53669,1075,2-HIGH,refully pending courts. regular se
53670,358,3-MEDIUM,s. furiously ironic accounts haggle blithely acco
53671,226,3-MEDIUM,its sleep carefully requests: ideas eat behind the p
53696,562,4-NOT SPECIFIED,y. quickly bold packages affix quickly express excuses. slyly special depos
53697,619,1-URGENT,into beans. special pinto beans are regular theodolites. slyly specia
53698,73,3-MEDIUM,sts kindle slyly about the c
53699,1163,3-MEDIUM, final deposits! carefully regular ideas p
53700,148,1-URGENT,cross the furiously regul
53701,19,1-URGENT,riously final requests about th
53702,266,2-HIGH,"ctions breach. regular, express pinto beans wake across the carefull"
53703,989,4-NOT SPECIFIED,y regular pinto beans use slyly in
53728,1081,2-HIGH, even packages. fluffily express pinto beans af
53729,1414,5-LOW, pending courts. quickly even i
53730,433,2-HIGH,"y special accounts. bold asymptotes boost regular, final instr"
53731,352,3-MEDIUM, across the silent accounts. fluffily express ideas use carefully
53732,337,3-MEDIUM,ironic dependencies affix slyly alon
53733,352,5-LOW,ress instructions against the 
53734,1219,1-URGENT,r packages haggle around the quickly unusual ins
53735,1495,1-URGENT,-- permanent frays cajole slyly epitaphs
53760,37,3-MEDIUM,haggle. quickly special requests are pe
53761,1361,2-HIGH,. blithe packages haggle slyly af
53762,481,1-URGENT,ts haggle quickly alo
53763,157,3-MEDIUM,ilent instructions up the slyly e
53764,1319,2-HIGH,nst the quickly pendi
53765,1247,2-HIGH,ly final excuses haggle bl
53766,572,4-NOT SPECIFIED,ets. slyly regular dependenci
53767,151,4-NOT SPECIFIED,final platelets lose slyly pending pinto beans. regular dependencies cajol
53792,634,5-LOW,"gular instructions. regular requests are furiously. ironic, i"
53793,982,3-MEDIUM,e furiously special foxes was furiously brav
53794,121,3-MEDIUM,s: express deposits wake fluffily during the s
53795,733,2-HIGH,ts across the caref
53796,1028,1-URGENT, daring deposits lose slyly. pinto beans haggle blithely. fu
53797,121,1-URGENT, sleep permanently bold requests. sly theodolites along the slyly even foxes 
53798,691,5-LOW,n theodolites. slyly ironic packages hag
53799,764,4-NOT SPECIFIED,aringly pending acc
53824,277,4-NOT SPECIFIED, blithely. express excuses x
53825,1336,5-LOW,elets should have to mold quietly carefully express de
53826,799,3-MEDIUM,quickly unusual accounts. carefully regular fox
53827,848,2-HIGH,"de of the regular, ironic packages. bold deposits are caref"
53828,521,1-URGENT,cial ideas over the quietly ironic packages sleep furiously final pla
53829,1072,1-URGENT, slyly regular ideas 
53830,1220,4-NOT SPECIFIED,nto beans x-ray carefully. thin dep
53831,1052,2-HIGH,carefully. fluffily pending requests nag under the
53856,286,1-URGENT,ending instructions. blithely final pinto beans at the slyly regular accou
53857,454,2-HIGH,imes silent asymptotes are qui
53858,1102,2-HIGH,foxes. slyly regular dependencies cajole bli
53859,716,5-LOW,kly along the accounts. ca
53860,1103,1-URGENT,uickly special accounts. slyly unusual re
53861,190,3-MEDIUM,sheaves about the carefully bold acco
53862,1078,2-HIGH,unusual accounts. furiously silent theod
53863,902,2-HIGH,requests! furiously special dinos integrate carefully after the fluffily regul
53888,839,4-NOT SPECIFIED,"lites are doggedly ironic, pending instructions. "
53889,880,5-LOW,ld sleep. slyly bold packages haggle bravely along the carefully regular dep
53890,1288,5-LOW,mong the final decoys. i
53891,1094,2-HIGH,ronic ideas sleep furiously along t
53892,1120,1-URGENT,ly final dolphins. blithely 
53893,595,2-HIGH,odolites. fluffily silent 
53894,907,1-URGENT,odolites wake quickly. quickly unusua
53895,1258,4-NOT SPECIFIED,ntain along the foxes. quickly even hockey players cajole quickly fluffily eve
53920,742,1-URGENT,pecial requests are slyly. 
53921,1312,1-URGENT,ccording to the iron
53922,1070,2-HIGH,ously ironic accounts affix according to the unusual theodolite
53923,454,1-URGENT, across the carefully even accounts engage slyly 
53924,1069,2-HIGH, accounts are quickly sly
53925,625,5-LOW,ver bold pinto beans. blithely reg
53926,661,1-URGENT,sleep idly express packages. final foxe
53927,1318,3-MEDIUM,bold instructions. blithely even requests are quickly regular packages. slyly
53952,931,2-HIGH,yly even dolphins. requests wa
53953,1195,4-NOT SPECIFIED, bold deposits integrate. regular foxes boost furious
53954,1462,3-MEDIUM,tions beside the furiousl
53955,961,1-URGENT,fter the slyly express theodolites. busy patterns sleep dolphins. si
53956,1348,2-HIGH,structions. blithely express request
53957,7,1-URGENT,telets wake. furiously final platelets u
53958,154,2-HIGH,riously pending ideas wake. idly idle requests are quickly. quickl
53959,20,3-MEDIUM,refully pending requests. ironic theodolites boost carefully above the foxes.
53984,415,3-MEDIUM,s wake about the blithely final
53985,1042,1-URGENT,rs. furiously even 
53986,796,2-HIGH,leep carefully above the care
53987,176,4-NOT SPECIFIED,arefully above the blithely unusual pinto beans.
53988,589,3-MEDIUM,fter the quickly express instructions are pe
53989,83,3-MEDIUM,s. blithely express warhorses against the blithely regular asymptotes are furi
53990,1069,4-NOT SPECIFIED,to beans. sheaves are blithely deposits. carefully final packages acr
53991,1271,2-HIGH,ent deposits. furiously bold courts about the quic
54016,178,3-MEDIUM,requests. blithely regular deposits sleep sl
54017,599,1-URGENT,"furiously. stealthy, silent requests impress inside the furiously ironic pac"
54018,4,2-HIGH,iously express deposits dazzle furiousl
54019,382,5-LOW,xpress deposits. blithely bold accounts integrate 
54020,292,5-LOW,equests. regular packages maintain carefully bold ac
54021,316,5-LOW,"y. final, bold packages around the carefully e"
54022,1066,2-HIGH,ly theodolites. blithely regular ideas boost slyly according 
54023,925,4-NOT SPECIFIED,s deposits mold fluffily across the blithely reg
54048,1084,4-NOT SPECIFIED,equests. even deposits across the regular requests are 
54049,724,5-LOW,aggle silently. realms cajole quickly among the slyly pending pack
54050,1052,2-HIGH,ly bold foxes. accounts affix carefully slyly
54051,1222,3-MEDIUM,olites nag alongside of the carefully special ideas. u
54052,737,1-URGENT,grate carefully pending pinto beans. furiously final pains
54053,686,2-HIGH, ideas snooze. fluffily final accou
54054,1147,4-NOT SPECIFIED,ess deposits-- slyly ironi
54055,781,1-URGENT,accounts mold carefully carefully even theodolites. accoun
54080,170,2-HIGH,e slyly even pinto beans. requests 
54081,829,5-LOW,es. carefully ironic platelets unwind furiously ironic deposits. foxes nod s
54082,196,2-HIGH,"lar, final instructions. quickly even deposits subla"
54083,602,2-HIGH,gular accounts cajole furiously according to the slyly bold req
54084,1172,1-URGENT,to beans cajole slyly along the finally final foxes. slyly regular package
54085,805,5-LOW,"ily. regular, special packa"
54086,238,5-LOW,l theodolites use. requests h
54087,587,2-HIGH,xes upon the blithely regular accounts detect carefully according to the
54112,440,4-NOT SPECIFIED,ans. dependencies are slyly. slyly express foxes grow fluff
54113,961,5-LOW,lar dependencies against the quietly fi
54114,412,5-LOW,"ve the carefully final packages. final, regular accounts toward the exp"
54115,791,5-LOW, bold instructions sleep slyly 
54116,508,1-URGENT,fully special excuses cajole furiously furiously pending fr
54117,1202,3-MEDIUM,ic accounts according
54118,704,4-NOT SPECIFIED,yly final platelets. furiously regular multipliers alongside of the
54119,736,3-MEDIUM,even deposits. pending instructions m
54144,724,3-MEDIUM, ironic packages. express excuses wake 
54145,1073,5-LOW,nts. quickly final deposits are busily. quickly spe
54146,1000,5-LOW, carefully blithely final pinto beans. carefully even 
54147,1375,2-HIGH,x furiously unusual accounts. sometimes even 
54148,61,1-URGENT,ly ironic packages detect furiously against the fur
54149,439,3-MEDIUM, deposits. furiously thin pinto beans are. blithely even theodolites nag 
54150,1354,1-URGENT,ealthily silent deposits. blithely u
54151,1186,1-URGENT,unts. pending ideas haggle carefully against the slyly f
54176,232,4-NOT SPECIFIED, furiously. blithely special requests wake quickly special platelets.
54177,989,1-URGENT,bold requests; blit
54178,1201,4-NOT SPECIFIED,ar pinto beans. fur
54179,1289,5-LOW,"final ideas sleep final, regular platelets. unusual pinto beans are "
54180,670,1-URGENT,refully final foxes. fluffily 
54181,824,2-HIGH,cial instructions. express theodolites haggle furiously regu
54182,364,4-NOT SPECIFIED,r accounts! carefully final asymptotes haggle quick
54183,454,1-URGENT, carefully even excuses. ironic pinto beans was along t
54208,1246,2-HIGH,"ic accounts cajole carefully ironic, ironic requ"
54209,523,3-MEDIUM, deposits poach furiously from the fluffily unusual warhorses? fu
54210,1252,3-MEDIUM,uriously final courts. b
54211,331,5-LOW,te over the quickly bold deposits. slyly bold dependencies wake ironic
54212,421,5-LOW,quests cajole blithely about the regular dolphins. acc
54213,292,4-NOT SPECIFIED,ages. slyly express platelets against t
54214,874,3-MEDIUM, ironic excuses. requests among the theodolit
54215,1495,2-HIGH,"s? even, final instructions "
54240,1040,4-NOT SPECIFIED,ong the furiously unusual foxes. care
54241,649,4-NOT SPECIFIED,y special asymptotes need to use alongside of the pend
54242,100,3-MEDIUM,usual theodolites haggle instructions. ideas sleep carefully ironic r
54243,277,5-LOW,ns. furiously regula
54244,223,5-LOW,lphins wake quickly quick instructions
54245,53,3-MEDIUM,into beans haggle blithely against the platelets. closely pending pack
54246,1099,1-URGENT,"s. final, express theodolites wake requests. regular req"
54247,193,1-URGENT,ep blithely ironic deposits? fluffily express requests wake 
54272,266,4-NOT SPECIFIED,"l packages. regular, bold deposi"
54273,1273,4-NOT SPECIFIED,kly pending packages ac
54274,1402,4-NOT SPECIFIED,lyly final pinto beans; blithely blithe instructions are quickly blithely even
54275,887,5-LOW,sily even packages detect according to the enticingly regular d
54276,932,4-NOT SPECIFIED,r the daringly even accounts print blithely acr
54277,304,1-URGENT,bove the deposits. carefully unusual sheaves cajole bli
54278,55,5-LOW,haggle fluffily against the ca
54279,1072,2-HIGH,he sometimes pending requests. dependencies daz
54304,508,2-HIGH,"ely express attainments nag furiously about the express theodolites. special,"
54305,1454,5-LOW,symptotes. pending accounts 
54306,889,3-MEDIUM,ven theodolites run. accounts haggle carefully about the daringly final e
